Date,Species,Group Size,Scoreable,Side of Road,Det FLIR Time,Det FLIR Westing Fix,Det FLIR Northing Fix,Mov FLIR Time,Mov FLIR Westing Fix,Mov FLIR Northing Fix,Loc FLIR Time,Loc FLIR Westing Fix,Loc FLIR Northing Fix,Comment
,,,,,20:53:06,,,,,,,,,
,,,,,21:49:44,,,,,,,,,
,,,,,21:55:59,,,,,,,,,
,,,,,21:26:24,,,,,,,,,
,,,,,21:32:10,,,,,,,,,
,,,,,22:04:35,,,,,,,,,
,,,,,22:06:09,,,,,,,,,
,,,,,22:14:41,,,,,,,,,
,,,,,22:32:45,,,,,,,,,
